nama,komentar,sentimen,waktu
Sonia Febiona 16-2047,Saya di tanya anak kelas 5 SD penjumlahan pecahan. Dan itu bukan di buku tapi di Lembaran kerja siswa yang tidak ada penjelasannya. Setahu saya dalam penjumlahan juga ada namanya penyebutnya di samakan dan itu disamakan dengan kpk atau fpbnya nah. Tetapi anak iti ga tau apa itu KPK dan FPB. Karena saya bukan guru saya ga bisa menjelaskan bagaimana metodenya. Tapi saya tau jawabannya. Saya rasa memang benar pertemuan tatap muka itu bener2 penting. Orang tua bisa mengisi LKSnya. Tapi belum tentu orangtua bisa mengajar.,negatif,2020-08-31T13:13:05Z
Makemily Emily,Saya cuma bisa ber doa semoga c19 ini cepatlah sirna dari dunia ini\n\nSpp murid diskon lah 50% beri gaji guru normal dari pemerintah full,positif,2020-08-31T12:42:00Z
Novita Faricha,"Saya cm gk tau hrs mengeluh pada siapa.krn tugas anak saya sangat aneh.anak saya masih TK tp diberi tugas mengcopy video dr hp ke kaset CD...yg mna saya tdk punya laptop.sedang mengcopy nya tdk hanya 1.tp tiap pergantian tema pelajaran hrs mengcopy ke CD..saya pernah minta keringanan kepada pihak sekolah krn saya tidak punya laptop.tp pihak skolah sllu blng klo CD itu utk disetor ke DIKNAS...sedangkan sekolah laen kok gk spt skolah anak saya... akhirnya saya dtg kestudio foto utk mengcopy nya..krn warnet gk ada ditmpt saya...tmpt fto copy jg gk mw nrima...jd tiap bulan kestudio foto.dah biaya nya gk murah.mngkin bgi yg laen murah...utk kuota okelah gk mslh...utk ksudio fto aja hrs naek angkot dl plng prgi nya.....kyak nya tugasnya memberat kan ortu...kalo SD,SMP,SMA Msih maklum...ini anak TK.",negatif,2020-08-31T12:16:29Z
dindana Fitriani,"Saya berharap sitem tatap muka 50% segera direalisasikan, khususnya bagi daerah zona hijau, im 12th grade ..",netral,2020-08-31T11:48:20Z
Bondan Witantra,Saya berharap segera dilakukan sekolah tatap muka dengan kondisi protokol yg dilakukan sama dengan ketika menjalankan sosial dan ekonomi selama pandemi...subsidi untuk protokol akan dibutuhkan dr berbagai pihak terutama pemerintah,netral,2020-08-31T10:39:34Z
Agen Rahasia,"Saya baru tau komite sekolah itu perwakilan orang tua dan tokoh..soalnya waktu saya belajar di MAN ( tingkat sma ) komitenya kayak mata"" guru sekolah??",netral,2020-08-31T09:43:30Z
Shielda Sentosa,Saya baru pertama kali denger suara Pak Nadiem. Dan baru pertama tau pola berfikir beliau mengenai dunia pendidikan Indonesia. Ternyta pikiran beliau keren. Saya selama ini suka baca pernyataan beliau yg sepotong-potong d kutip oleh wartawan online ngawur. Podcast nya keren. Jd tau pikiran Pak Mentri secara menyeluruh.,positif,2020-08-31T07:42:59Z
Ina Sun,Saya bangga mempunyai mentri seperti anda pak \n\nTapi tdk kah panjenengan tau pak di bulan juni sy hrs menangis krna tdk bs bantu ank saya beli hp\nYg pd sa'at itu sy yg bekerja sebagai babu di singapore masih dlm keada'an lockdwon dn tdk bs keluar untuk kirim uang ????????,positif,2020-08-31T05:27:21Z
Enggar J Prasetya,"Saya bangga dengan Anda, Mas Menteri ????",positif,2020-08-31T01:21:06Z
A. Kasmania,"saya anak kuliahan dan kondisi belajar dirumah krn pandemi, adek saya masih SD juga melakukan pembelajaran sistem daring. \ntiap hari bagi waktu sama adek buat make satu hp (laptop sering eror). \nortu sibuk naikin ekonomi keluarga supaya bisa makan. \n\nsaya ga masalah dikasih tugas+modul saja krn alhmdulillh saya mudah mengerti belajar melalui visual. adik saya juga ga masalah kalau dikasih tugas krn saya bisa bantu dia belajar. \n\ntapi satu keritikan saya untuk beberapa guru sd adik saya, tolong jangan kasih tugas diluar jam sekolahnya . kalau mau kasih pr sudah seharusnya diberi saat jam pelajarannya. \n\nsemua org punya porsinya masing2 diwaktu yng sdh dispakati. saya tau tugas guru lebih berat semenjak pandemi ini tapi bukan brrti bisa fleksibel memberi tugas diwaktu apapun. \n\nterkadang adek sy dihitung tidak hadir hanya karena telat mengumpul tugas yang diberikan gurunya (dimalam hari) dan dikumpul dipagi harinya. ga semua membaca notifikasi tugas kalau diberikan dimalam hari apalagi kondisinya gadget ga selalu dipegang sama adek saya, dan sayapun juga sering disibukkan dengan tugas kuliah. \n\nkalau memang mau memberi tugas dimohon pertimbangkan waktunya . bedakan anak sd yang blm punya hp sendiri dengan anak kuliahan yang mungkin bisa memaklumi hal itu. \n\nterima kasih.",negatif,2020-08-31T01:02:06Z
adrian tri.k,"Saya alumni SMK suasta lulusan 2020 new,saya suka pas kemaren Ditiadakan UN,tapi saya tidak suka dengan sekolah saya pas sebelum Pandemi masuk kan UN mau di jalanin terus siswa suruh bayar biaya UN 2jt+ Nah pas waktu Pandemi masuk UN tiba"" di tiadakan sedangkan uang UN tetap harus di bayarkan sampai kelulusan pun tiba siswa siswi yang belum bayar tidak dapet ijasah cuma pinjam Surat kelulusan buat di foto copy buat persyaratan bekerja pun juga tidak boleh.memang bagi orang yang banyak uang bayar UN segitu mudah tapi buat saya yang orang tuanya engga bekerja susah buat bayarnya sedangkan saya butuh surat"" tersebut buat mencari nafkah.Bukannya saya engga suka sistem pendidikan sekarang saya cuma engga suka kenapa UN di tiadakan kenapa administrasi UN Tetap harus dilunaskan??",negatif,2020-08-31T00:09:10Z
SF74o lfoJaf,"Saya adalah seseorang yang sejak kelas 1 SMP sudah tidak terlalu percaya sama yang namanya g*ru, dan kalau nanya apa2, selalu ke temen sekelas yang pintar\nJadi kalau PJJ pusing, coba tanya ke temen yg pinter,,, temen2 kalian yg pinter itu nantiny bakal jadi company owner, investor sukses, berkarier di multi national company dsb... dan yang jelas mereka tidak bakal jadi g*ru... (Dan kalau kalian punya temen pinter waktu sekolah dulu yg ternyata sekarang jadi g*ru, berarti mereka tidak bener2 pinter...)",negatif,2020-08-30T19:27:19Z
Ni Made Chandra Dewi,"Saya adalah salah satu orang tua siswa SD dng adanya pembelajaran on line memang terasa merepotkan tp jg sy bisa senang mengajar ke anak. Sulitnya adalah membuat anak fokus pada mata pelajaran yg cara penyajian materi sepertinya membosankan u anak"". Jadi sulit sekali mentransfer ilmu ke anak...tp jika diberi kebabasan bermain game spt mobile legend, PUBG u anak"" mrk menjadi sangat fokus dan tertantang, bahkan sulit menghentikan. Andai saja materi pelajaran dibuat bisa spt game on line, dimana siswa bisa terasa spt masuk ke dalam game dan berinteraksi disana, bisa naik level spt game,pastinya akan sangat menyenangkan bagi si anak"". Jadi sy sebagai orang tua tdk perlu memaksa anak u belajar, maka otomatis mrk akan suka dan tertantang spt main game. Adakah aplikasi pelajaran u semua tingkat pelajar spt aplikasi game on line...pastinya memerlukan kerja sama antara pembuat game dan kemendikbud.????",negatif,2020-08-30T17:23:44Z
Niko,"saya ada 3 solusi \n\n1. anggarkan pembangunan untuk sekolah jadi lebih banyak ruangan, atau gunakan gedung yang sudah ada, atau ciptakan ruangan dadakan yang dimana jumlah muridnya sesuai minimal protokol kesehatan yang di bolehkan, \nkemudian perbanyak guru, buka cpns guru besar besaran, beri pelatihan segera pada guru baru agar bisa mengisi kelas kelas tersebut \n\n2. rapid test semua murid kemudian bikin karantina di 1 sekolah selama 1 semester (seperti pesantren) kunjungan dibatasi dan sesuai protokol\n\n3. lupakan corona masuk aja",netral,2020-08-30T15:54:49Z
Prutut Subi,"Saya sampai kasian ke tetangga saya, dia tukang becak sedangkan anaknya harus sekolah online",negatif,2020-08-30T15:22:44Z
harri reno reno,"Satu kata "" Keren...""",positif,2020-08-30T12:37:41Z
TARMIZII OFFICIAL,"Satu hal yang harus nadiem makarim tahu, guru tak bisa di gantikan oleh teknologi, tolong bang dedy sampaikan ke nadiem",negatif,2020-08-30T11:21:09Z
uzu Growl,"satu hal yang gw ingin sampaikan ke pak nadim,, prosedur sekolah di zona hijau/kuning is RIBEUUUTTTT!!!!\n\nNew normal maybe akan bisa d terapkan atau masyarakat akan terbiasa kurng lebih selama 2-5 tahun,, WTF ??????",negatif,2020-08-30T10:42:51Z
Syilviana Asri,"Saran saya pjj bisa d lakukan lewat tayangan tv juga kayak kemarin. Selain memperbaiki tontonan pertelevisian dengan adanya sisipan pembelajaran, juga untuk memudahkan orang tua yg kurang mengerti memakai teknologi pembelajaran daring. Atau bisa d buat akun youtube untuk setiap tingkatan kelas d sekolah yang di dalamnya dibuat video pembelajaran seperti bimbel online yang bisa disertai kuis berhadiah yang dananya diambil dari penghasilan akun youtube nya dan digunakan untuk memicu semangat pembelajaran namun juga merangsang semangat anak.",netral,2020-08-30T04:26:56Z
Rahmanta Sandi Yudha,"Saran Saya Hilangkan Sistem Zonasi,kasian siswa siswi yang tidak mendapat jatah sekolah.\nDaftar Sekolah Kok Pakai Rumah",negatif,2020-08-30T04:18:49Z
Amrial,Saran saya agar guru yg punya SDM dan potensi diberikan stimulus,netral,2020-08-30T03:17:47Z
Ryan Pujasmara,Saran off skolah dlu...buat yg ga mau rugi duit. Ilmu bisa di cari. Ijazah bisa menyusul...kasian si miskin,negatif,2020-08-29T17:52:54Z
ka Syifa,"Saran Mas mentri, ciptakan generasi membangun, bukan generasi yg senang berkompetensi. krn kompetensi dekat dengan persaingan dan saling menjatuhkan.",netral,2020-08-29T16:49:07Z
Widya Bakir,"Saran kepada bapak menteri. Mohon melakukan Videoconfrence dengan para guru seluruh Indonesia. Tanyakan kondisi real saat ini tentang kondisi pendidikan disetiap lembaga. Bapak akan menemukan bahwa kepala sekolah, guru, dan juga org tua mengalami keresahan dan kesulitan luar biasa terhadap kurikulum darurat dan sistem BDR yg berjalan saat ini. Kami tidak menyalahkan kebijakkan bapak, namun kami ingin bapak bersama jajaran membuat suatu konsep kurikulum yg jelas tentunya berdasarkan masukkan dari para guru yang ada ini. Kur darurat yang dibuat tanpa standar capaian yang jelas. Apalagi kami guru2 yg ada dikampung ini sangat merasa kesulitan dengan kebijakkan yg dibuat. Disatu sisi kami ingin anak2 didik kami mendapatkan pengajaran dan pendidikan yg layak walau dengan keterbatasan konds saat ini. Mohon bapak sering2lah ""blusukkan virtual"" dengan pimpinan atau para guru disetiap lembaga, harapan kami anda dapat membuat suatu konsep dan mekanisme pendidikan yang tepat dimasa pandemi ini",negatif,2020-08-29T15:04:17Z
diantara kami,saran kami menteri pendidikan sebaiknya di ganti saja terlalu banyak omong akhirnya bohong.,negatif,2020-08-29T14:19:17Z
edy billist 17,Sangat mendukung keputusan mas nadiem karena pada dasarnya keselamatan yg utama,positif,2020-08-29T05:13:10Z
Syaiful Musa,sangat mencerahkan dan memberi info untuk kami para guru di slrh indonesia,positif,2020-08-29T05:04:33Z
Tjeppy Mulyadi,Sangat brilliant...maju terus mas Menteri !,positif,2020-08-29T01:32:08Z
diana bs,Sangat bermanfaat ??,positif,2020-08-28T18:00:37Z
Nacita TV,Sama nih mas dedi...ank sy tk ga ada disc sm sekali malah...n tahun sebelumny ga ada pengembalian..pdhl eskul sdh byr n covid sehingga tdk berjalan full...nyeseknya sekolah lain disc walaupun sedikit??titip donk tanyain pak mentri..tk tu mending sekolah or privat drmh aja siy?,negatif,2020-08-28T12:33:51Z
Bot Hunter Gaming,"sama banget yang saya rasain sekarangg:( , saya merasa lebih bodoh dirumah tolongg..",negatif,2020-08-28T08:23:51Z
iman,"Salut, mas nadiem punya jiwa yang besar\nSemuanya terbuka\nApa adanya\nDan disaat bersamaan benar benar calculated\n\nNadiemnya berlari, kementeriannya dan orang orang jadul yang ga bisa ngimbangin",positif,2020-08-28T05:04:31Z
Paulina Paulina,"Salut utk pak Nadim. Cerdas, pintar bisa memberi solusi sistem pendidikan di Indonesia di tengah pandemi covid 19 melanda masyarakat Inonesia. Semangat terus pa Nadim. Doa kami?? untukmu sehat selalu??",positif,2020-08-28T04:15:42Z
Fhy Palu,"Salut saya suka pikiran cemerlang anda, sangat tepat mas nadiem jadi menteri sekrang.keren banget sangat menginspirasi??????",positif,2020-08-28T03:32:28Z
Johannes Clinton,"salut sama Pak Nadim. kebijakan dan pemikirannya bener2 canggih, gak heran bisa jd CEO Gojek.\nsemoga pendidikan di Indonesia bisa semakin baik lg, amin.",positif,2020-08-28T03:17:00Z
della fatma,"Salut sama pak Nadiem, ??????",positif,2020-08-28T02:15:36Z
Rahmat Rendy Prayogo,"Salut sama pak Nadiem yang selalu sabar, kami para siswa juga akan turut serta untuk mendukung bapak.",positif,2020-08-28T01:32:47Z
Natural Nusantara,Salut sama pak Nadiem \nNggak salah pilih menteri pak presiden jokowi.\nSama An*s Baswedan kalah jauh levelnya\nPantes di pecat sama pakde,positif,2020-08-27T21:27:07Z
Kokom Komariah,Salut sama p mentri yg benar2 akan selalu meminta maaf ??????,positif,2020-08-27T20:46:00Z
ita rohmawati,Salut sama mentri pendidikan yang satu ini.,positif,2020-08-27T18:29:26Z
MechaBrad,"Salut Pak Nadiem, humble dan jujur jika ada yg salah dalam prosedur implementasi POP nya... Jarang pemimpin seperti ini.. terus keep improve indonesia education biar bisa ngalahain Negara Finlandia sekalian.\n\nKyk jaman RA Kartini aja ampe ada small group pembelajaran secara bergeriliya menghindari covid....",positif,2020-08-27T17:28:12Z
Cah Angon Bejo,"Salut pak menteri, Tujuan n Mimpi bapak buat anak2, semoga sllu berkah pak. Sehat. Sy anak daerah...BOP=Bancaan pak. Bancaan bagi oknum dinas terkait. BOP cair bulan Juni...laporan belanja dr bulan januari-july harus sdh dilaporkan ke Dinas....dr mana bs dpt nota bulan Januari-Juni dr real toko (klo gak pake ilmu sama2 tau n maulah???(jurus dewa mabuk)\nAda paket pandemi nih dr Dinas terkait tp harganya....huuuu...Mark up nya ampun...(dibaginya gratis) tp kulakannya hahaa dr org/orgny dinas jg...????",positif,2020-08-27T16:14:32Z
Damario Althaf,Salut ama pak mentri... Jawabannya bikin angguk2,positif,2020-08-27T16:03:25Z
Rizkie Djoe,"Salut !!, terus berkarya mas mentri..",positif,2020-08-27T13:38:47Z
SMA Negeri 1 Telukdalam Nias Selatan,Salam sehat Pak Nadiem ....\nGagasan untuk membentuk small group untuk pembelajaran tatap muka dengan interaksi minimum sangatlah menarik. Tapi Indonesia kekurangan SDM Guru. Masalah kekurangan Guru ini juga membutuhkan perhatian. Belum lagi dengan kondisi SDM Guru nya masih berstatus honorer.,positif,2020-08-27T13:04:36Z
delcio_24,salah satu menteri yang benar2 menerima kritikan dan berani mengakui kesalahannya serta mau intropeksi diri. om deddy bertanya dalam bahasa inggris dan pak menteri selalu menjawab dgn bahasa indonesia. mantap pak menteri. lanjutkan.,positif,2020-08-27T10:34:25Z
Ibnu Aji,salah satu anak bangsa terbaik.,positif,2020-08-27T10:11:56Z
alfateh alwali,sadar tak sadar \nsuka tak suka \nkita dibungkam semua\n\nkita memasuki era penjajahan gaya baru \nkita sudah tak bebas lagi seperti dulu\nkedamaian sudah tak lagi seperti dulu\n\nsemua dibatasi atas nama protokol kesehatan.. konon katanya \nakan ada covid susulan..\n\nEkonomi kita makin terpuruk\nbanyak yg kehilangan pekerjaan \nmasyarakat dimiskinkan agar mudah ditekan dan dikendalikan \n\nsaat ini rakyat dibuat cemas\nkehidupan sekarang semakin aneh\nsaling mencurigai jadi hal biasa\n\nkejahatan yg terjadi menjadi lumrah\nbanyak orang hanya menonton \ndiam bingung dan tak berani bersuara\n\nbahkan banyak orang tak bisa \nberbuat apa apa\nkarena takut akan fitnahnya..\n\nFitnah dan hoax skg merajalela\norang ibadah dibatasi geraknya\nAlim Ulama' dibatasi langkahnya\nmasjid masjid dibatasi programnya\npengajian pengajian dibubarkan\nsekolah2 ditutup\nsilaturrahmi sangat dibatasi \n\nhidup dengan online digalakkan\nonline jadi gaya baru sekarang\norang yg tidak mengikuti akan kesulitan\norang yg bersuara akan dibungkam\n\ninilah New Normal \nkehidupan baru yg akan menuju \nNew World Order\n(tatanan dunia baru) Dajjal\n\nmereka kendalikan melalui tangan2 penguasa di setiap negara..\nrakyat yg menjadi korbannya..\norang pintarpun bingung dibuatnya..\n\nsiapakah yg ciptakan sistem nya ?\nsiapkah yg membuat pola nya ?\nsiapakah yg di untungkan didalamnya ?\nbanyak orang jadi pengikutnya..\n\nsemoga para pemimpin \nsadar akan hal ini..\n\nbertaqwalah.. karena ianya adalah\nsebaik baik jalan kemudahan..,negatif,2020-08-27T09:22:02Z
Guru Galih,"sabar, semoga lekas usai wabah ini",positif,2020-08-27T08:53:07Z
Charlie Gozali,Sabar dan semangat Pak nadiem jika utk mencerdaskan Anak bangsa.,positif,2020-08-27T08:40:24Z
Violet 06,Saat saat sekarang lah...fungsi pendidikan buat orang tua dan anak.....bagai mana membangun pendidikan dengan kerja sama antara guru dan orang tua murid....segala bentuk tugas harus di jelaskan oleh ortu murid..supaya murid bisa mengerti sebelum ngerjain tugas,positif,2020-08-27T07:27:11Z
Yupi CottonCandy,saat petama kali saya pakek Zoom asli aku ola olo pak wkwkwk tapi sekarang pro alhamdulillah~,netral,2020-08-27T05:23:39Z
Rezi Byson Rumble,Saat pandemi gk kebayang kalau Kemendikbud nya bukan mas Nadiem...,positif,2020-08-27T04:23:22Z
Tania Fadilla Hasna,"Saat ini belum ada kabar/info mengenai kuliah tatap bagi mahasiswa. Rata-rata kebanyakan mahasiswa mengeluh adanya pembelajaran daring sampai saat ini.. Banyak yg mengeluh pembelajaran daring seperti susah di mengerti dalam memahami materi-materi tsb karena daya ingat/ pemikiran manusia kan berbeda-beda ada yg termasuk cepat di ingat namun juga ada yg susah untuk mengingat materi tsb, susah mendapatkan sinyal bagi yg rumahnya di perdesaan/pelosok, banyak yg mengeluh UKT mahal berjalan namun tidak ada kabar untuk kejelasan tatap muka agar uang tsb tidak ada kabar/Info mengenai tatap muka, pembalajaran daring skarang kebanyakan dianggap sepele saja, pembelajaran daring ini bagi mahasiswa yg tidak mengetahui IT sulit di pahami/dijalankan nantinya, mengeluh karena menatap laptop berjam-jam, dan lain-lain. Ayo dong tegakkin Kapan kuliah tatap muka dilaksanakan?",negatif,2020-08-26T19:37:36Z
